"store","avg_sales_promo","avg_sales_nonpromo","promo_uplift"
817,"24679.566666666667","14043.338487972509","10636.228178694158"
261,"16478.113888888889","6694.3694158075601375","9783.7444730813288625"
544,"17072.355555555556","8329.3144329896907216","8743.0411225658652784"
1014,"15334.427777777778","6853.4501718213058419","8480.9776059564721581"
963,"13982.883333333333","5758.7079037800687285","8224.1754295532642715"
788,"19927.797222222222","11869.646048109966","8058.151174112256"
335,"18175.525000000000","10306.773195876289","7868.751804123711"
251,"20670.544444444444","12810.092783505155","7860.451660939289"
513,"19937.938888888889","12155.924398625430","7782.014490263459"
831,"15264.750000000000","7541.9639175257731959","7722.7860824742268041"
1027,"15567.909090909091","7863.1885593220338983","7704.7205315870571017"
1033,"16261.002777777778","8619.0876288659793814","7641.9151489117986186"
726,"13849.527777777778","6240.7817869415807560","7608.7459908361972440"
336,"16205.452777777778","8619.1632302405498282","7586.2895475372281718"
380,"16583.319444444444","9092.2353951890034364","7491.0840492554405636"
211,"15299.188888888889","8040.9948453608247423","7258.1940435280642577"
768,"15295.380555555556","8039.9725085910652921","7255.4080469644907079"
1114,"21601.497222222222","14477.742268041237","7123.754954180985"
320,"16697.552777777778","9654.8092783505154639","7042.7434994272625361"
526,"13145.622222222222","6151.9192439862542955","6993.7029782359677045"
383,"18628.841666666667","11655.491408934708","6973.350257731959"
876,"11797.516666666667","4849.2079037800687285","6948.3087628865982715"
375,"11878.116666666667","4934.8762886597938144","6943.2403780068731856"
234,"13417.202777777778","6520.8608247422680412","6896.3419530355099588"
207,"13561.008333333333","6677.7577319587628866","6883.2506013745701134"
545,"12950.263888888889","6224.6907216494845361","6725.5731672394044639"
595,"16548.583333333333","9995.6907216494845361","6552.8926116838484639"
84,"14759.308333333333","8211.9776632302405498","6547.3306701030924502"
756,"17738.413888888889","11212.977663230241","6525.436225658648"
608,"11752.766666666667","5230.3127147766323024","6522.4539518900346976"
1112,"12490.363888888889","5975.5378006872852234","6514.8260882016037766"
271,"10507.675000000000","4009.8900343642611684","6497.7849656357388316"
57,"12641.208333333333","6193.8109965635738832","6447.3973367697591168"
396,"12436.402777777778","6007.0910652920962199","6429.3117124856817801"
528,"12823.972222222222","6395.4158075601374570","6428.5564146620845430"
999,"11568.736111111111","5152.1924398625429553","6416.5436712485680447"
167,"11637.616666666667","5259.7353951890034364","6377.8812714776635636"
368,"11915.919444444444","5560.9965635738831615","6354.9228808705608385"
178,"12272.263888888889","5931.4896907216494845","6340.7741981672395155"
842,"19181.076923076923","12855.370762711864","6325.706160365059"
809,"11663.788888888889","5358.5257731958762887","6305.2631156930127113"
479,"13209.455555555556","6919.4914089347079038","6289.9641466208480962"
390,"13456.511111111111","7180.7697594501718213","6275.7413516609391787"
552,"10272.252777777778","4008.1907216494845361","6264.0620561282934639"
709,"12074.091666666667","5849.9467353951890034","6224.1449312714779966"
252,"12577.997222222222","6428.5309278350515464","6149.4662943871704536"
459,"11416.627777777778","5299.9759450171821306","6116.6518327605958694"
470,"14556.041666666667","8478.5859106529209622","6077.4557560137460378"
698,"16706.313888888889","10632.297250859107","6074.016638029782"
449,"13081.705555555556","7009.9003436426116838","6071.8052119129443162"
125,"13600.769444444444","7532.3230240549828179","6068.4464203894611821"
35,"11753.686111111111","5717.1237113402061856","6036.5623997709048144"
27,"11506.502777777778","5569.5326460481099656","5936.9701317296680344"
269,"11389.819444444444","5465.2044673539518900","5924.6149770904921100"
546,"15039.094444444444","9127.5756013745704467","5911.5188430698735533"
489,"9701.6527777777777778","3791.0171821305841924","5910.6355956471935854"
82,"11088.677777777778","5213.7216494845360825","5874.9561282932419175"
846,"11256.250000000000","5384.4381443298969072","5871.8118556701030928"
640,"13151.166666666667","7303.3487972508591065","5847.8178694158078935"
1026,"11441.769444444444","5632.3848797250859107","5809.3845647193580893"
586,"16053.413888888889","10246.000000000000","5807.413888888889"
400,"10812.275000000000","5063.1151202749140893","5749.1598797250859107"
745,"9759.9250000000000000","4013.2439862542955326","5746.6810137457044674"
906,"12603.302777777778","6870.4226804123711340","5732.8800973654068660"
729,"12265.155555555556","6532.9003436426116838","5732.2552119129443162"
645,"12382.638888888889","6666.0824742268041237","5716.5564146620848763"
123,"10378.152777777778","4664.0103092783505155","5714.1424684994274845"
432,"12664.058333333333","6961.3573883161512027","5702.7009450171817973"
921,"11363.466666666667","5668.0240549828178694","5695.4426116838491306"
388,"11988.625000000000","6314.4587628865979381","5674.1662371134020619"
894,"10427.422222222222","4768.6013745704467354","5658.8208476517752646"
1032,"11102.811111111111","5455.7439862542955326","5647.0671248568154674"
1053,"10922.863888888889","5276.1134020618556701","5646.7504868270333299"
662,"10509.055555555556","4868.2594501718213058","5640.7961053837346942"
909,"12102.545454545455","6464.3326271186440678","5638.2128274268109322"
1101,"11758.450000000000","6160.1632302405498282","5598.2867697594501718"
467,"14586.077777777778","9020.6993127147766323","5565.3784650630013677"
1079,"10637.347222222222","5075.2302405498281787","5562.1169816723938213"
469,"13336.238888888889","7782.9828178694158076","5553.2560710194731924"
626,"11199.636111111111","5646.9140893470790378","5552.7220217640319622"
560,"14214.061111111111","8679.9725085910652921","5534.0886025200457079"
71,"10906.630555555556","5381.8006872852233677","5524.8298682703326323"
697,"12203.158333333333","6714.8144329896907216","5488.3439003436422784"
156,"9169.5027777777777778","3682.0601374570446735","5487.4426403207331043"
1086,"9748.2333333333333333","4272.6683848797250859","5475.5649484536082474"
387,"10994.236111111111","5522.0257731958762887","5472.2103379152347113"
42,"11795.647222222222","6327.0360824742268041","5468.6111397479951959"
316,"11527.502777777778","6061.2216494845360825","5466.2811282932419175"
693,"8854.8222222222222222","3390.1443298969072165","5464.6778923253150057"
358,"11893.252777777778","6437.9553264604810997","5455.2974513172969003"
892,"9660.2222222222222222","4209.0498281786941581","5451.1723940435280641"
731,"10982.947222222222","5538.7302405498281787","5444.2169816723938213"
384,"10715.377777777778","5292.1580756013745704","5423.2197021764034296"
683,"10959.125000000000","5543.0068728522336770","5416.1181271477663230"
502,"12238.091666666667","6824.2182130584192440","5413.8734536082477560"
344,"10397.063888888889","4993.5498281786941581","5403.5140607101948419"
389,"11939.877777777778","6539.8058419243986254","5400.0719358533793746"
787,"11792.605555555556","6412.0910652920962199","5380.5144902634597801"
153,"9163.6750000000000000","3790.5910652920962199","5373.0839347079037801"
913,"10643.413888888889","5272.6597938144329897","5370.7540950744560103"
25,"12208.966666666667","6840.7714776632302405","5368.1951890034367595"
704,"11952.097222222222","6590.4501718213058419","5361.6470504009161581"
798,"9490.9805555555555556","4138.3178694158075601","5352.6626861397479955"
157,"11345.619444444444","5995.9295532646048110","5349.6898911798391890"
814,"10342.080555555556","4992.5773195876288660","5349.5032359679271340"
779,"9207.3333333333333333","3858.4312714776632302","5348.9020618556701031"
898,"8787.0472222222222222","3453.4931271477663230","5333.5540950744558992"
416,"12459.666666666667","7127.0326460481099656","5332.6340206185570344"
60,"9945.4805555555555556","4614.1494845360824742","5331.3310710194730814"
983,"11713.925000000000","6398.7353951890034364","5315.1896048109965636"
171,"10238.338888888889","4949.3195876288659794","5289.0193012600230206"
466,"9618.3222222222222222","4373.4312714776632302","5244.8909507445589920"
256,"11336.527777777778","6098.2199312714776632","5238.3078465063003368"
24,"10998.552777777778","5762.8797250859106529","5235.6730526918673471"
195,"12090.763888888889","6860.6391752577319588","5230.1247136311570412"
308,"10848.302777777778","5632.0274914089347079","5216.2752863688432921"
682,"14425.775000000000","9216.6666666666666667","5209.1083333333333333"
665,"9960.1138888888888889","4768.0068728522336770","5192.1070160366552119"
914,"11116.058333333333","5930.3745704467353952","5185.6837628865976048"
713,"12057.886111111111","6887.5017182130584192","5170.3843928980525808"
1046,"10396.216666666667","5226.9381443298969072","5169.2785223367700928"
64,"11753.127777777778","6596.1237113402061856","5157.0040664375718144"
974,"12678.832167832168","7526.1186440677966102","5152.7135237643713898"
291,"9824.8944444444444444","4675.2731958762886598","5149.6212485681557846"
792,"9287.6416666666666667","4145.6546391752577320","5141.9870274914089347"
533,"11141.400000000000","6004.5412371134020619","5136.8587628865979381"
878,"10392.969444444444","5258.0704467353951890","5134.8989977090488110"
381,"10625.125000000000","5491.6975945017182131","5133.4274054982817869"
138,"9237.2388888888888889","4116.5463917525773196","5120.6924971363115693"
957,"9727.3000000000000000","4623.5360824742268041","5103.7639175257731959"
1003,"9245.8194444444444444","4162.7302405498281787","5083.0892038946162657"
705,"9728.0361111111111111","4646.7491408934707904","5081.2869702176403207"
1018,"12891.688888888889","7811.3333333333333333","5080.3555555555556667"
1019,"10599.867132867133","5550.1567796610169492","5049.7103532061160508"
739,"10984.688811188811","5939.0826271186440678","5045.6061840701669322"
1040,"10308.152777777778","5265.3350515463917526","5042.8177262313862474"
523,"16035.063888888889","11002.357388316151","5032.706500572738"
755,"11796.355555555556","6770.9690721649484536","5025.3864833906075464"
382,"9703.9861111111111111","4700.2164948453608247","5003.7696162657502864"
250,"10112.194444444444","5111.9707903780068729","5000.2236540664371271"
279,"10400.674825174825","5420.1822033898305085","4980.4926217849944915"
333,"11211.036111111111","6230.5979381443298969","4980.4381729667811031"
679,"11339.177777777778","6381.3281786941580756","4957.8495990836199244"
95,"9382.9250000000000000","4433.3522336769759450","4949.5727663230240550"
376,"10008.5000000000000000","5060.2628865979381443","4948.2371134020618557"
753,"10256.891666666667","5314.1357388316151203","4942.7559278350518797"
911,"11263.886111111111","6348.4003436426116838","4915.4857674684993162"
964,"11027.283333333333","6125.2182130584192440","4902.0651202749137560"
965,"10058.747222222222","5164.0051546391752577","4894.7420675830467423"
1034,"8400.1111111111111111","3520.4553264604810997","4879.6557846506300114"
